type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,079549,滬深2X統一3C購01,TW24Z0795490,2024/02/16,上市,,RWBCCA
上市認購(售)權證,07954T,辛耘元富3A售06,TW24Z07954T0,2024/04/23,上市,,RWSCPE
上市認購(售)權證,079550,士電統一41購01,TW24Z0795508,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079551,士電統一41購02,TW24Z0795516,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079552,中砂統一42購01,TW24Z0795524,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079553,台積電統一44購01,TW24Z0795532,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079554,矽統統一41購01,TW24Z0795540,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079555,技嘉統一41購02,TW24Z0795557,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079556,台光電統一42購02,TW24Z0795565,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079557,聯發科統一43購01,TW24Z0795573,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079558,一詮統一42購02,TW24Z0795581,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079559,長榮統一43購03,TW24Z0795599,2024/02/16,上市,,RWSCCA
上市認購(售)權證,07955T,樺漢元富3A售02,TW24Z07955T7,2024/04/23,上市,,RWSCPE
上市認購(售)權證,079560,奇鋐統一41購04,TW24Z0795607,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079561,奇鋐統一43購02,TW24Z0795615,2024/02/16,上市,,RWSCCA
